ts,op,src,src_sha1,out,out_sha1,src_dims,out_dims,params,note
2026-06-05,grade,hero_cand_02.png,-,hero_graded.png,-,3072x5504,3072x5504,locked v3 LUXURY,beats source
2026-06-05,export,hero_graded.png,-,hero_ig_feed_4x5_1080x1350.png,-,3072x5504,-,reframe,export size
2026-06-05,export,hero_graded.png,-,hero_li_banner_1584x396.png,-,3072x5504,-,reframe,export size
2026-06-05,export,hero_graded.png,-,hero_print_4x5_2000x2500.png,-,3072x5504,-,reframe,export size
2026-06-05,export,hero_graded.png,-,hero_square_1x1_1080x1080.png,-,3072x5504,-,reframe,export size
2026-06-05,export,hero_graded.png,-,hero_story_9x16_1080x1920.png,-,3072x5504,-,reframe,export size
2026-06-05,export,hero_graded.png,-,hero_web_hero_3x2_2400x1600.png,-,3072x5504,-,reframe,export size
2026-06-05,export,hero_graded.png,-,hero_yt_thumb_16x9_1280x720.png,-,3072x5504,-,reframe,export size
2026-06-05,titlecard,-,-,title_open.png,-,-,1080x1920,in-world copy,open
2026-06-05,titlecard,-,-,title_end.png,-,-,1080x1920,in-world copy,end
2026-06-05,motion,hero_cand_02.png,-,beatA_pushin_1080.mp4,-,-,1080x1920,seedance 1080p,push-in
2026-06-05,motion,hero_cand_04.png,-,beatB_portrait_1080.mp4,-,-,1080x1920,seedance 1080p,portrait head-turn
2026-06-05,edit,segments,-,THE_HOUSE_REMEMBERS_teaser_9x16.mp4,-,-,1080x1920,concat 4seg muted,trailer
