extracted,words,segments_equiv,chunk_count,has_segment_ledger,twin_certified,needs_reread,bucket
freeman_photographers_vision.txt,68865,11,10,no,no,yes,chunked_not_certified
abloh_core_studio_lecture.txt,10287,2,3,no,no,no,chunked_not_certified
freeman_photographers_eye.txt,60656,10,10,yes,no,no,coverage_proven
sontag_on_photography.txt,54356,9,12,yes,no,no,coverage_proven
barthes_camera_lucida.txt,23912,4,10,no,no,yes,chunked_not_certified
stevens_avedon_something_personal.txt,246485,37,12,no,no,yes,chunked_not_certified
shore_nature_of_photographs.txt,7333,2,8,no,no,no,chunked_not_certified
art_book_1994_robert_frank_americans.txt,1218,1,2,no,no,no,chunked_not_certified
maisel_light_gesture_color.txt,21469,4,8,no,no,yes,chunked_not_certified
day_robert_franks_the_americans.txt,66502,10,10,no,no,yes,chunked_not_certified
talbot_herzog_modern_color.txt,1813,1,2,no,no,no,chunked_not_certified
dubiel_avedon_american_west_sartre.txt,2991,1,3,no,no,no,chunked_not_certified
szarkowski_eggleston_guide.txt,4984,1,6,no,no,no,chunked_not_certified
pour_your_heart_into_it_schultz.txt,107337,17,2,no,no,yes,chunked_not_certified
the_airbnb_story_gallagher.txt,87560,14,2,no,no,yes,chunked_not_certified
titan_rockefeller_chernow.txt,332866,50,3,no,no,yes,chunked_not_certified
sam_walton_made_in_america.txt,96353,15,4,no,no,yes,chunked_not_certified
elon_musk_isaacson.txt,204776,31,4,no,no,yes,chunked_not_certified
the_fish_that_ate_the_whale_cohen.txt,94096,15,2,no,no,yes,chunked_not_certified
super_pumped_uber_isaac.txt,125963,19,3,no,no,yes,chunked_not_certified
power_and_prediction_agrawal.txt,85838,13,7,no,no,yes,chunked_not_certified
competing_in_the_age_of_ai_iansiti.txt,80880,13,8,no,no,yes,chunked_not_certified
youtube_skool_doc.txt,196895,30,6,yes,no,no,coverage_proven
life_3_0_tegmark.txt,118085,18,8,no,no,yes,chunked_not_certified
automate_this_steiner.txt,84148,13,7,no,no,yes,chunked_not_certified
the_coming_wave_suleyman.txt,116084,18,9,no,no,yes,chunked_not_certified
ai_changed_everything.txt,14120,3,4,yes,no,no,coverage_proven
only_humans_need_apply_davenport.txt,97529,15,9,no,no,yes,chunked_not_certified
co_intelligence_mollick.txt,58122,9,9,no,no,yes,chunked_not_certified
sniped_os_knowledge_dump.txt,6086,1,6,yes,no,no,coverage_proven
human_plus_machine_daugherty.txt,61250,10,7,no,no,yes,chunked_not_certified
finding_your_edge.txt,1979,1,4,yes,no,no,coverage_proven
the_second_machine_age_brynjolfsson.txt,87231,14,7,no,no,yes,chunked_not_certified
course_work_1_thru_2.txt,26754,4,6,yes,no,no,coverage_proven
read_write_own_dixon.txt,82649,13,7,no,no,yes,chunked_not_certified
the_network_state_srinivasan.txt,121745,19,7,no,no,yes,chunked_not_certified
prediction_machines_agrawal.txt,75514,12,9,no,no,yes,chunked_not_certified
88_laws_winters.txt,20025,3,9,no,no,yes,chunked_not_certified
peak_ericsson_pool.txt,110138,17,4,no,no,yes,chunked_not_certified
talent_is_overrated_colvin.txt,74216,12,2,no,no,yes,chunked_not_certified
