slug,title,author,domain,words,segments,chunks,cited_by_doctrine,status
mungertwotrackdecisionanalysisframeworkprompt,Munger Two-Track Decision Analysis (supplemental),Charlie Munger (via framework),meta-doctrine,0,0,1,yes,provisional_chunked
sevenpowersstrategicpositionassessmentframeworkprompt,7 Powers Position Assessment (supplemental),Hamilton Helmer (via framework,strategy,0,0,1,yes,provisional_chunked
supercarl,Negative Positioning,BJ intake (abstracted),positioning,0,0,1,yes,provisional_chunked
szarkowskiegglestonguide,William Eggleston's Guide,John Szarkowski,aesthetics,4984,1,6,yes,provisional_chunked
artseries1richardavedon,"Art Series Frame: Richard Avedon · Boyd Fortin, Sweetwater T",BJ / SNIPED Media,art-series,1581,1,3,yes,provisional_chunked
artseries2williameggleston,"Art Series Frame: William Eggleston · The Red Ceiling, Green",BJ / SNIPED Media,art-series,1362,1,3,yes,provisional_chunked
studyrichardavedon,Study: Richard Avedon,BJ / SNIPED Media,art-series,2776,1,4,yes,provisional_chunked
studywilliameggleston,Study: William Eggleston,BJ / SNIPED Media,art-series,2658,1,4,yes,provisional_chunked
dubielavedonamericanwestsartre,Richard Avedon's In the American West and Jean-Paul Sartre: ,Richard M. Dubiel,portraiture,2991,1,3,yes,provisional_chunked
skillssnipedhospitalitylayer,sniped-hospitality-layer,BJ / SNIPED Media,operator-doctrine,324,1,1,yes,provisional_chunked
skillssnipedwwppositioning,sniped-wwp-positioning,BJ / SNIPED Media,pricing,404,1,1,yes,provisional_chunked
skillssnipedaiphotographermarket,sniped-ai-photographer-market,BJ / SNIPED Media,strategy,372,1,1,yes,provisional_chunked
skillssnipedpositioningphrases,sniped-positioning-phrases,BJ / SNIPED Media,strategy,339,1,1,yes,provisional_chunked
skillssnipedblockbusterstrategy,sniped-blockbuster-strategy,BJ / SNIPED Media,strategy,361,1,1,yes,provisional_chunked
claude50mungertwotrackdecisionanalysis,munger-two-track-decision-analysis,Claude AI Skills 50-Pack (exte,meta-doctrine,536,1,1,yes,provisional_chunked
claude50counterpositioningdiagnosis,counter-positioning-diagnosis,Claude AI Skills 50-Pack (exte,strategy,405,1,1,yes,provisional_chunked
scientificadvertisinghopkins,Scientific Advertising (1923),Claude C. Hopkins,copywriting,20851,4,5,yes,provisional_chunked
wwpmanifestoenns,The Win Without Pitching Manifesto,Blair Enns,sales-flow,23301,4,12,yes,provisional_chunked
waysofseeingberger,Ways of Seeing,John Berger,aesthetics,22532,4,2,yes,provisional_chunked
obviouslyawesomedunford,Obviously Awesome (2019),April Dunford,positioning,32666,5,4,yes,provisional_chunked
momtestfitzpatrick,The Mom Test,Rob Fitzpatrick,operator-process,30791,5,2,yes,provisional_chunked
100moffershormozi,$100M Offers (2021),Alex Hormozi,offer-design,45050,7,4,yes,provisional_chunked
confessionsofanadvertisingmanogilvy,Confessions of an Advertising Man,David Ogilvy,copywriting,42924,7,7,yes,provisional_chunked
almanacknavalravikant,The Almanack of Naval Ravikant,Naval Ravikant (ed. Eric Jorge,leverage,49356,8,12,yes,provisional_chunked
outsidersthorndike,The Outsiders,William N. Thorndike,capital-allocation,59696,9,5,yes,provisional_chunked
sontagonphotography,On Photography,Susan Sontag,photography-theory,54356,9,12,yes,provisional_chunked
statusanxietydebotton,Status Anxiety,Alain de Botton,status,60134,9,11,yes,provisional_chunked
freemanphotographerseye,The Photographer's Eye: Composition and Design for Better Di,Michael Freeman,composition,60656,10,10,yes,provisional_chunked
pricingcreativityenns,Pricing Creativity,Blair Enns,pricing,61231,10,12,yes,provisional_chunked
breakthroughadvertisingschwartz,Breakthrough Advertising (1966),Eugene M. Schwartz,meta-advertising,69732,11,4,yes,provisional_chunked
contagiousberger,Contagious (2013),Jonah Berger,content-strategy,69151,11,5,yes,provisional_chunked
100mleadshormozi,$100M Leads (2023),Alex Hormozi,sales-flow,68196,11,4,yes,provisional_chunked
the50thlaw50centgreene,The 50th Law,50 Cent and Robert Greene,power,71830,11,3,yes,provisional_chunked
crossingthechasmmoore,Crossing the Chasm,Geoffrey A. Moore,positioning,71720,11,5,yes,provisional_chunked
freemanphotographersvision,The Photographer's Vision: Understanding and Appreciating Gr,Michael Freeman,visual-literacy,68865,11,10,yes,provisional_chunked
companyofonejarvis,Company of One,Paul Jarvis,small-company-strategy,71228,11,9,yes,provisional_chunked
perennialsellerholiday,Perennial Seller,Ryan Holiday,creative-process,72067,11,9,yes,provisional_chunked
