ts,artifact,path,size
2026-06-05 09:51,deed_animated_title.mp4,03_TOOL_ACTIVATION/hyperframes/deed_animated_title.mp4,249KB
2026-06-05 09:51,deed_title_source.html,03_TOOL_ACTIVATION/hyperframes/deed_title_source.html,2KB
2026-06-05 09:53,BLENDER_GATE_LOG.csv,05_SECURITY_AND_MCP/blender_sandbox/BLENDER_GATE_LOG.csv,0KB
2026-06-05 09:53,TEST_RESULTS.md,04_TEST_RESULTS/TEST_RESULTS.md,1KB
2026-06-05 09:54,OS_BLENDER_SECURITY_GATE.md,05_SECURITY_AND_MCP/OS_BLENDER_SECURITY_GATE.md,2KB
2026-06-05 09:54,OS_DOCTRINE_FUSION.md,02_DOCTRINE_FUSION/OS_DOCTRINE_FUSION.md,2KB
2026-06-05 09:54,OS_INPUT_TO_MODULE_MATRIX.csv,01_PRIME_ARCHITECTURE/OS_INPUT_TO_MODULE_MATRIX.csv,4KB
2026-06-05 09:54,OS_LEARNING_LOOP.md,01_PRIME_ARCHITECTURE/OS_LEARNING_LOOP.md,0KB
2026-06-05 09:54,OS_MCP_WIRING_PLAN.md,05_SECURITY_AND_MCP/OS_MCP_WIRING_PLAN.md,3KB
2026-06-05 09:54,OS_MODULE_MAP.md,01_PRIME_ARCHITECTURE/OS_MODULE_MAP.md,6KB
2026-06-05 09:54,OS_ONE_BRAIN_PROTOCOL.md,01_PRIME_ARCHITECTURE/OS_ONE_BRAIN_PROTOCOL.md,0KB
2026-06-05 09:54,OS_PRIME_MOVER_ARCHITECTURE.md,01_PRIME_ARCHITECTURE/OS_PRIME_MOVER_ARCHITECTURE.md,2KB
2026-06-05 09:54,OS_QUALITY_STACKS.md,02_DOCTRINE_FUSION/OS_QUALITY_STACKS.md,1KB
2026-06-05 09:54,TOOL_ACTIVATION_RESULTS.md,03_TOOL_ACTIVATION/TOOL_ACTIVATION_RESULTS.md,1KB
2026-06-05 09:55,CAPABILITY_STATUS.csv,CAPABILITY_STATUS.csv,2KB
