 90.9  Sovra Works                  STRONG , advance to clearance
 90.9  Sovra Standard               STRONG , advance to clearance
 90.9  Sovra Reserve                STRONG , advance to clearance
 90.9  Sovra Office                 STRONG , advance to clearance
 90.9  Sovra Keep                   STRONG , advance to clearance
 90.9  Sovra House                  STRONG , advance to clearance
 90.9  Sovra Foundry                STRONG , advance to clearance
 90.9  Sovra Editions               STRONG , advance to clearance
 90.9  Sovra Atelier                STRONG , advance to clearance
 90.9  Sovra & Co                   STRONG , advance to clearance
 90.9  Sovra                        STRONG , advance to clearance
 90.0  Veris                        STRONG , advance to clearance
 90.0  Sovran                       STRONG , advance to clearance
 90.0  Soven                        STRONG , advance to clearance
 90.0  Sovel                        STRONG , advance to clearance
 90.0  Solum Works                  STRONG , advance to clearance
 90.0  Solum Standard               STRONG , advance to clearance
 90.0  Solum Keep                   STRONG , advance to clearance
 90.0  Solum House                  STRONG , advance to clearance
 90.0  Solum                        STRONG , advance to clearance
 90.0  Regna                        STRONG , advance to clearance
 90.0  Petra                        STRONG , advance to clearance
 89.1  Sovera                       STRONG , advance to clearance
 89.1  Regnum                       STRONG , advance to clearance
 89.1  Lumen                        STRONG , advance to clearance
 89.1  Aurum                        STRONG , advance to clearance
 88.2  Unum                         STRONG , advance to clearance
 88.2  Soveren                      STRONG , advance to clearance
 88.2  Solus                        STRONG , advance to clearance
 88.2  Soleil                       STRONG , advance to clearance
 88.2  Monos                        STRONG , advance to clearance
 88.2  Custos                       STRONG , advance to clearance
 87.3  Vesta                        STRONG , advance to clearance
 87.3  Sovro                        STRONG , advance to clearance
 87.3  Sovia                        STRONG , advance to clearance
 87.3  Soveo                        STRONG , advance to clearance
 87.3  Solene                       STRONG , advance to clearance
 87.3  Sevra                        STRONG , advance to clearance
 87.3  Crovo                        STRONG , advance to clearance
 86.4  Veritas                      STRONG , advance to clearance
 86.4  Sovum                        STRONG , advance to clearance
 86.4  Sovrum                       STRONG , advance to clearance
 86.4  Sovren                       STRONG , advance to clearance
 86.4  Sovo                         STRONG , advance to clearance
 86.4  Sovis                        STRONG , advance to clearance
 86.4  Sovan                        STRONG , advance to clearance
 86.4  Sova                         STRONG , advance to clearance
 86.4  Signum                       STRONG , advance to clearance
 86.4  Sigillum                     STRONG , advance to clearance
 86.4  Regis                        STRONG , advance to clearance
 85.5  Sovrova                      STRONG , advance to clearance
 85.5  Sovova                       STRONG , advance to clearance
 85.5  Sovora                       STRONG , advance to clearance
 84.5  Sovus                        STRONG , advance to clearance
 84.5  Sovic                        STRONG , advance to clearance
 84.5  Sovar                        STRONG , advance to clearance
 84.5  Solestamp                    STRONG , advance to clearance
 84.5  Soleseal                     STRONG , advance to clearance
 84.5  Soleproof                    STRONG , advance to clearance
 84.5  Solemark                     STRONG , advance to clearance
 84.5  Solekeep                     STRONG , advance to clearance
 84.5  Solecrest                    STRONG , advance to clearance
 84.5  Onora                        STRONG , advance to clearance
 83.6  Sovae                        STRONG , advance to clearance
 82.7  Vauld                        STRONG , advance to clearance
 81.8  Soleworks                    STRONG , advance to clearance
 80.9  Sovix                        STRONG , advance to clearance
 80.6  Solehouse                    STRONG , advance to clearance
 80.6  Soleforge                    STRONG , advance to clearance
 79.1  Arx                          STRONG , advance to clearance
 77.0  Solestandard                 VIABLE , advance with caveats
 74.2  Solefield                    VIABLE , advance with caveats
 73.3  Onlymark                     VIABLE , advance with caveats
 73.3  Onlykeep                     VIABLE , advance with caveats
 73.0  Solereserve                  VIABLE , advance with caveats
 72.1  Sigil                        VIABLE , advance with caveats
 70.3  Vault                        VIABLE , advance with caveats
 70.3  Aegis                        VIABLE , advance with caveats
 69.4  Seal                         VIABLE , advance with caveats
 68.5  Sovereign                    VIABLE , advance with caveats
 67.6  Vitrine                      WEAK , only if nothing better
 67.6  Monolith                     WEAK , only if nothing better
 67.6  Citadel                      WEAK , only if nothing better
 66.7  Obelisk                      WEAK , only if nothing better
 66.7  Hallmark                     WEAK , only if nothing better
 65.8  Keystone                     WEAK , only if nothing better
 64.8  Crucible                     WEAK , only if nothing better
 63.0  Plinth                       WEAK , only if nothing better
 57.3  Bullion                      KILL
