shot,start_s,end_s,dur_s
1,0.0,6.7,6.7
2,6.7,11.17,4.47
3,11.17,22.47,11.3
4,22.47,25.5,3.03
5,25.5,27.1,1.6
6,27.1,29.97,2.87
7,29.97,32.87,2.9
8,32.87,33.87,1.0
9,33.87,37.1,3.23
10,37.1,38.27,1.17
11,38.27,39.8,1.53
12,39.8,41.7,1.9
13,41.7,43.87,2.17
14,43.87,45.07,1.2
15,45.07,46.1,1.03
16,46.1,46.73,0.63
17,46.73,47.57,0.84
18,47.57,60.37,12.8
19,60.37,65.77,5.4
20,65.77,68.63,2.86
21,68.63,71.63,3.0
22,71.63,80.47,8.84
23,80.47,82.47,2.0
24,82.47,85.23,2.76
25,85.23,99.0,13.77
26,99.0,100.01,1.01
