batch,books,units,agents,status,result_count,failure_reason,retry
R1,6,6,18,DONE,5,intelligent_investor=excerpt(ch1-3/20) held SCHEDULED,0
R2,5,6,18,DONE,5,dalio edition corrected to 2011,0
R3,5,8,18,DONE,5,re-extracted-after-crash:5/5-whole-read-banked,1
R4,4,8,16,DONE,4,re-extracted-after-crash:4/4-whole-read-banked,1
R5,4,8,16,DONE,3,3-banked+1-dedup-kupor->DUPLICATE,0
R6,4,8,16,DONE,4,4-whole-read-banked,0
R7,4,8,16,DONE,4,4-whole-read-banked,0
R8,4,10,18,DONE,3,3-banked+1-dedup-mailroom-djvu->DUPLICATE,0
R9,3,9,15,DONE,3,3-banked-incl-canonical-mailroom-epub,0
R10,2,9,13,DONE,2,2-whole-read-banked,0
R11,2,11,15,DONE,2,2-whole-read-banked,0
R12,2,12,16,DONE,2,2-whole-read-banked,0
R13,1,11,13,DONE,1,1-whole-read-banked-bible,0
R14,1,2,4,DONE,1,power-and-prediction-2022-banked-distinct-from-prediction-machines,0
