batch,books,units,agents,status,result_count,failure_reason,retry
R1,5,7,17,DONE,5,5-whole-read-banked,0
R2,5,10,20,DONE,5,5-whole-read-banked,0
R3,5,10,20,DONE,5,5-whole-read-banked,0
R4,4,10,18,DONE,4,4-whole-read-banked,0
R5,3,9,15,DONE,3,3-whole-read-banked,0
R6,3,9,15,DONE,3,3-whole-read-banked,0
R7,2,7,11,DONE,2,2-whole-read-banked,0
R8,2,8,12,DONE,2,2-whole-read-banked,0
R9,2,10,14,DONE,2,2-whole-read-banked,0
R10,1,6,8,DONE,1,1-whole-read-banked-big-payback,0
R11,1,6,8,DONE,1,1-whole-read-banked-color-purple-omnibus,0
R12,1,7,9,DONE,1,1-whole-read-banked-ulysses,0
