row_id,orig_status,lane,wave_action,triage,retirement_state_provisional,ext,words,bytes,md5,path,closure_status
W1-01,needs_ocr,D,install_gated,true_ocr_epub,KEEP_ACTIVE_SOURCE,.epub,,73254882,1fda17c1da47,"/Users/sniper/Downloads/    SNIPED_OS/ Lovell, Sophie - Dieter Rams_ As Little Design as Possible (2011, Phaidon Press) - libgen.li.epub",PENDING_install_decision (Lane D)
W1-02,needs_ocr,C,close_now,vision_deck,DO_NOT_DELETE,.pdf,,1275126,b0869a798def,/Users/sniper/Downloads/    SNIPED_OS/05_PRODUCTION/post_pipeline/SHOOTS/_TEST_alma-love_proof/CAMPAIGN_DIRECTION/ALMA_DROP_ENGINE_DECK.pdf,CLOSED_read_verified
W1-03,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1196339,b505cfa88cd8,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+10+related.+Broad-Lighting.pdf,CLOSED_read_verified
W1-04,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,935085,583993f08ce1,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+10+related.+Hollywood-3-Light.pdf,CLOSED_read_verified
W1-05,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1034881,eaa05ae75a61,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+11+related.+Rembrandt-Lighting.pdf,CLOSED_read_verified
W1-06,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,992545,6e924d1d1234,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+16+related.+45-Degree-Angle-Slims-Body.pdf,CLOSED_read_verified
W1-07,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1039740,7ed177d55426,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+17+related.+Stretch-Things-Forward-Female.pdf,CLOSED_read_verified
W1-08,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1125581,df6cb50488a1,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+18+related.+The-Male-Light-Pose.pdf,CLOSED_read_verified
W1-09,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1006486,a15d99d17287,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+19+related.+The-Female-Shadow-Pose.pdf,CLOSED_read_verified
W1-10,needs_ocr,C,close_now,vision_caption,COLD_ARCHIVE_OK,.pdf,,1104210,013b3ee6b5d9,/Users/sniper/Downloads/    SNIPED_OS/10_REFERENCE/lighting_pdfs/Lecture+2+related.+Home-Based-Studio.pdf,CLOSED_read_verified
