source_id,source_path,md5,bytes,class,new_status,coverage_proof,signal_now_in,retrieval_test,retirement_state,backup_path,operator_approval
story{robert mckee},/Users/sniper/Downloads/    SNIPED_OS/Story{Robert McKee}{115577124} libgen.li.pdf,1f11febd7714eb86d96cc190a4081122,55967632,source,read_verified,27/27 OCR segs,_reference/STORY_DOCTRINE_MCKEE.md,Recall McKee's structural hierarchy beat->scene->sequence->act and the definition of a story event.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
tested advertising methods,"/Users/sniper/Downloads/    SNIPED_OS/John Caples, David Ogilvy - Tested Advertising Methods (4th Ed.) - libgen.li.pdf",545a1e7a41d94fdf84104c24743ee569,54777427,source,read_verified,18/18 OCR segs,_reference/COPY_DOCTRINE_CAPLES_TESTED_ADVERTISING.md,Recall Caples on headlines (self-interest/news/curiosity) and split-run testing.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
annie leibovitz at work,"/Users/sniper/Downloads/    SNIPED_OS/Annie Leibovitz - Annie Leibovitz at Work (2008, Random House) - libgen.li.epub",02e2bd950f75d1251a1fdee49ef0c326,43876162,source,read_verified,8/8 OCR segs,_reference/PHOTO_CRAFT_LEIBOVITZ.md,"Recall how Leibovitz approaches making a portrait (concept, access, the 99 percent).",COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
dieter rams_ as little design,"/Users/sniper/Downloads/    SNIPED_OS/ Lovell, Sophie - Dieter Rams_ As Little Design as Possible (2011, Phaidon Press) - libgen.li.epub",1fda17c1da47e97ba078dcd8c6600f91,73254882,source,read_verified,11/11 OCR segs,_reference/DESIGN_DOCTRINE_DIETER_RAMS.md,Recall Rams Ten Principles of Good Design.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
virgil-abloh-figures,/Users/sniper/Downloads/    SNIPED_OS/pdfcoffee.com_virgil-abloh-figures-of-speech-pdf-free.pdf,f10e1e3d20559722fb0623e70670d27d,50655626,source,read_verified,506/506 pages,_reference/DESIGN_DOCTRINE_ABLOH_FIGURES_OF_SPEECH.md,Recall the 3 percent rule and the tourist/purist axis.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
shore stephen. - uncommon places,/Users/sniper/Downloads/    SNIPED_OS/Shore Stephen. - Uncommon Places_ The Complete Works - libgen.li.pdf,cc42c1a836d74a45c208f1a583518ba2,15307168,source,read_verified,121/121 pages,_reference/PHOTO_CRAFT_STEPHEN_SHORE_UNCOMMON_PLACES.md,Recall Shore's deadpan deep-focus color framing of the American vernacular.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
"uncommon places_ the complete works (2015, aperture)","/Users/sniper/Downloads/    SNIPED_OS/PHOTOGRPAHY GOLD BOOKS VIDEOS EVERYTHING / Stephen Shore, Lynne Tillman, Stephan Schmidt-Wulffen - Stephen Shore_ Uncommon Places_ The Complete Works (2015, Aperture) - libgen.li.pdf",3688ddf7e40d515150e69a5bbcf86ce9,31668052,source,read_verified,122/122 pages,_reference/PHOTO_CRAFT_STEPHEN_SHORE_UNCOMMON_PLACES.md,Same book as libgen edition; merged doctrine.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
william eggleston's guide,"/Users/sniper/Downloads/    SNIPED_OS/John Szarkowski - William Eggleston's Guide (2002, The Museum of Modern Art, New York) - libgen.li.pdf",10732067757ea6c0d1e79851fd546b2d,8951261,source,read_verified,120/120 pages,_reference/PHOTO_CRAFT_EGGLESTON_GUIDE.md,Recall the democratic-forest idea and dye-transfer color-as-meaning (the GOD red room).,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
ernst haas in black and white,"/Users/sniper/Downloads/    SNIPED_OS/PHOTOGRPAHY GOLD BOOKS VIDEOS EVERYTHING /Ernst Haas in Black and White{Jim Hughes_ Alexander Haas_ Ernst Haas}(1992, Bulfinch Press){115446337} libgen.li.pdf",b80672d1a6f27fc8c7515e7d08dad514,18822313,source,read_verified,152/152 pages,_reference/PHOTO_CRAFT_ERNST_HAAS_BW.md,Recall Haas's B&W seeing versus his color reputation.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
"the americans (2008, steidl)","/Users/sniper/Downloads/    SNIPED_OS/PHOTOGRPAHY GOLD BOOKS VIDEOS EVERYTHING / Robert Frank, Jack Kerouac - The Americans (2008, Steidl) - libgen.li.pdf",5e1c489a6ef5a075bd9be8d94c4bf1c3,28337959,source,read_verified,84/84 pages,_reference/PHOTO_CRAFT_FRANK_THE_AMERICANS.md,Recall Frank's sequencing and outsider American gaze; the Kerouac intro.,COLD_ARCHIVE_OK,"cold-archive (default), original stays in place",PENDING
