doc_id,seg_id,start,end,chars,sha1,read
FASHION_KILLA,seg_001,0,39849,39849,e6fbff8e4a95,no
FASHION_KILLA,seg_002,39849,79736,39887,f0a9ddb34720,no
FASHION_KILLA,seg_003,79736,119592,39856,77fdbf6036f2,no
FASHION_KILLA,seg_004,119592,159563,39971,4c3eea097237,no
FASHION_KILLA,seg_005,159563,199536,39973,2f1807526958,no
FASHION_KILLA,seg_006,199536,239526,39990,b76abf955f5c,no
FASHION_KILLA,seg_007,239526,279441,39915,d1914d80d199,no
FASHION_KILLA,seg_008,279441,319286,39845,551963e08cee,no
FASHION_KILLA,seg_009,319286,359209,39923,61ae07b669db,no
FASHION_KILLA,seg_010,359209,380343,21134,065280916230,no
