doc_id,seg_id,start,end,chars,sha1,read
LOCATION_SCOUTING_OG,seg_001,0,39993,39993,2ec071400919,no
LOCATION_SCOUTING_OG,seg_002,39993,79932,39939,2d3aebab1435,no
LOCATION_SCOUTING_OG,seg_003,79932,119845,39913,5937c916e147,no
LOCATION_SCOUTING_OG,seg_004,119845,159691,39846,89139cbf9228,no
LOCATION_SCOUTING_OG,seg_005,159691,199689,39998,83fecee7f8a2,no
LOCATION_SCOUTING_OG,seg_006,199689,239647,39958,e55f130edb46,no
LOCATION_SCOUTING_OG,seg_007,239647,279484,39837,9f0e73ad0e98,no
LOCATION_SCOUTING_OG,seg_008,279484,319458,39974,e68b8e7ae472,no
LOCATION_SCOUTING_OG,seg_009,319458,359404,39946,d715bc2f310f,no
LOCATION_SCOUTING_OG,seg_010,359404,399344,39940,135d19a6e401,no
LOCATION_SCOUTING_OG,seg_011,399344,439252,39908,4ba6be4b1b0c,no
LOCATION_SCOUTING_OG,seg_012,439252,464526,25274,0cc352567332,no
