doc_id,seg_id,start,end,chars,sha1,read
SOCIAL_MEDIA_3_0_MAY_USE,seg_001,0,39994,39994,62bc5568a499,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_002,39994,79975,39981,fa93f7fcefc3,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_003,79975,119803,39828,ae5371ec6c46,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_004,119803,159734,39931,0a6dd5d71b90,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_005,159734,199622,39888,f5684ab214b2,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_006,199622,239587,39965,c55378a8089a,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_007,239587,279509,39922,989bb0fe1c01,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_008,279509,319477,39968,da13c2d1f19e,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_009,319477,359360,39883,edd9cb21d23c,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_010,359360,399290,39930,c021db0a8d6e,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_011,399290,439208,39918,2e0206ac2006,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_012,439208,479173,39965,5257611b00f6,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_013,479173,519038,39865,165b26634576,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_014,519038,558960,39922,d113deb3d06a,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_015,558960,598953,39993,9f106b221ce4,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_016,598953,638893,39940,bd596698b703,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_017,638893,678833,39940,757763739a2c,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_018,678833,718787,39954,cbd5ae5be872,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_019,718787,758752,39965,2b1f9cd4ad6f,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_020,758752,798677,39925,38bfc775a953,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_021,798677,838596,39919,b1a2806c33fd,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_022,838596,878532,39936,e692d679979b,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_023,878532,918506,39974,739de3d501c0,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_024,918506,958476,39970,64a8d7682e64,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_025,958476,998441,39965,5236ed81f4ff,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_026,998441,1038387,39946,2bf7458d0c0e,no
SOCIAL_MEDIA_3_0_MAY_USE,seg_027,1038387,1050714,12327,790d41de8ea4,no
