doc_id,seg_id,start,end,chars,sha1,read
astro_claude_websites_3x_faster,seg_001,0,39869,39869,24335932428a,no
astro_claude_websites_3x_faster,seg_002,39869,79855,39986,cd11946e686f,no
astro_claude_websites_3x_faster,seg_003,79855,119827,39972,de54aa765fb9,no
astro_claude_websites_3x_faster,seg_004,119827,159763,39936,e40d8c4c2c01,no
astro_claude_websites_3x_faster,seg_005,159763,199744,39981,fa8336e2ae1e,no
astro_claude_websites_3x_faster,seg_006,199744,239713,39969,e32b280f8916,no
astro_claude_websites_3x_faster,seg_007,239713,279577,39864,df407d5dddbc,no
astro_claude_websites_3x_faster,seg_008,279577,319502,39925,ddbd0343a5c3,no
astro_claude_websites_3x_faster,seg_009,319502,359470,39968,053918639d4b,no
astro_claude_websites_3x_faster,seg_010,359470,399318,39848,29b54a043ea7,no
astro_claude_websites_3x_faster,seg_011,399318,439175,39857,89153dd01bad,no
astro_claude_websites_3x_faster,seg_012,439175,479146,39971,6bfd387d9af3,no
astro_claude_websites_3x_faster,seg_013,479146,519115,39969,ee40ebfe31d2,no
astro_claude_websites_3x_faster,seg_014,519115,559053,39938,2f5004ae4c9b,no
astro_claude_websites_3x_faster,seg_015,559053,598985,39932,159f04e0263f,no
astro_claude_websites_3x_faster,seg_016,598985,638925,39940,b2a01379ffad,no
astro_claude_websites_3x_faster,seg_017,638925,678925,40000,d24d0aa4cab8,no
astro_claude_websites_3x_faster,seg_018,678925,718788,39863,6c0815251efb,no
astro_claude_websites_3x_faster,seg_019,718788,758785,39997,dfb863678577,no
astro_claude_websites_3x_faster,seg_020,758785,798618,39833,b6d1b8707369,no
astro_claude_websites_3x_faster,seg_021,798618,838591,39973,e40967585624,no
astro_claude_websites_3x_faster,seg_022,838591,878558,39967,03a74d8fd96e,no
astro_claude_websites_3x_faster,seg_023,878558,918519,39961,8836585e1bd2,no
astro_claude_websites_3x_faster,seg_024,918519,958456,39937,9c0b51588e26,no
astro_claude_websites_3x_faster,seg_025,958456,998448,39992,cae2b4064cf7,no
astro_claude_websites_3x_faster,seg_026,998448,1038409,39961,df0193f6b3ed,no
astro_claude_websites_3x_faster,seg_027,1038409,1078390,39981,9e4ac64b603e,no
astro_claude_websites_3x_faster,seg_028,1078390,1118385,39995,f8e3db4c03ac,no
astro_claude_websites_3x_faster,seg_029,1118385,1158209,39824,43d0fd1e7241,no
astro_claude_websites_3x_faster,seg_030,1158209,1198183,39974,0ce77929141b,no
astro_claude_websites_3x_faster,seg_031,1198183,1238049,39866,0556a7e994f2,no
astro_claude_websites_3x_faster,seg_032,1238049,1277879,39830,ddc2d452c6bc,no
astro_claude_websites_3x_faster,seg_033,1277879,1317737,39858,9856e0f2bfa2,no
astro_claude_websites_3x_faster,seg_034,1317737,1357723,39986,03f5200ef911,no
astro_claude_websites_3x_faster,seg_035,1357723,1397559,39836,feb2993d498f,no
astro_claude_websites_3x_faster,seg_036,1397559,1437534,39975,f8b63e4c960b,no
astro_claude_websites_3x_faster,seg_037,1437534,1477429,39895,1c1af76c14ae,no
astro_claude_websites_3x_faster,seg_038,1477429,1517335,39906,5f5495acd20d,no
astro_claude_websites_3x_faster,seg_039,1517335,1557312,39977,60ac5d1311dd,no
astro_claude_websites_3x_faster,seg_040,1557312,1597221,39909,5612c09d5f04,no
astro_claude_websites_3x_faster,seg_041,1597221,1637143,39922,b8aa0927c651,no
astro_claude_websites_3x_faster,seg_042,1637143,1677001,39858,340a21459cc9,no
astro_claude_websites_3x_faster,seg_043,1677001,1716871,39870,7e222ede2a60,no
astro_claude_websites_3x_faster,seg_044,1716871,1756833,39962,8a00d2b78e73,no
astro_claude_websites_3x_faster,seg_045,1756833,1796768,39935,87f3cc6e5b29,no
astro_claude_websites_3x_faster,seg_046,1796768,1836655,39887,1cde2e09b47d,no
astro_claude_websites_3x_faster,seg_047,1836655,1876589,39934,d7d93b4d892b,no
astro_claude_websites_3x_faster,seg_048,1876589,1916529,39940,c442b465cb34,no
astro_claude_websites_3x_faster,seg_049,1916529,1956408,39879,2ec6b3cd67c5,no
astro_claude_websites_3x_faster,seg_050,1956408,1996277,39869,70a6a0a05a1b,no
astro_claude_websites_3x_faster,seg_051,1996277,2036141,39864,d29d114d1822,no
astro_claude_websites_3x_faster,seg_052,2036141,2076110,39969,a049e4a12810,no
astro_claude_websites_3x_faster,seg_053,2076110,2116055,39945,c718638a6496,no
astro_claude_websites_3x_faster,seg_054,2116055,2156023,39968,f54a7dabe285,no
astro_claude_websites_3x_faster,seg_055,2156023,2195954,39931,1d12b7444a80,no
astro_claude_websites_3x_faster,seg_056,2195954,2235902,39948,6f233d8e21c7,no
astro_claude_websites_3x_faster,seg_057,2235902,2275802,39900,727c4b401257,no
astro_claude_websites_3x_faster,seg_058,2275802,2315748,39946,777b068aefc6,no
astro_claude_websites_3x_faster,seg_059,2315748,2355680,39932,ce9a39b22682,no
astro_claude_websites_3x_faster,seg_060,2355680,2395598,39918,cee94ccdd039,no
astro_claude_websites_3x_faster,seg_061,2395598,2435536,39938,61f81f703d2f,no
astro_claude_websites_3x_faster,seg_062,2435536,2475484,39948,6330d4ae3201,no
astro_claude_websites_3x_faster,seg_063,2475484,2515404,39920,2e6c6cb2baca,no
astro_claude_websites_3x_faster,seg_064,2515404,2555312,39908,92e67dde722b,no
astro_claude_websites_3x_faster,seg_065,2555312,2595176,39864,23a663887e05,no
astro_claude_websites_3x_faster,seg_066,2595176,2635085,39909,c3296f5170e0,no
astro_claude_websites_3x_faster,seg_067,2635085,2675042,39957,77f96cb295ea,no
astro_claude_websites_3x_faster,seg_068,2675042,2714982,39940,959ea6f87bc5,no
astro_claude_websites_3x_faster,seg_069,2714982,2754939,39957,9048c33e454d,no
astro_claude_websites_3x_faster,seg_070,2754939,2794907,39968,673d42948ad9,no
astro_claude_websites_3x_faster,seg_071,2794907,2834845,39938,b0d71857f7fe,no
astro_claude_websites_3x_faster,seg_072,2834845,2874777,39932,29e687253dc7,no
astro_claude_websites_3x_faster,seg_073,2874777,2914688,39911,fa8b17c4e4ea,no
astro_claude_websites_3x_faster,seg_074,2914688,2954638,39950,f1529cdfea53,no
astro_claude_websites_3x_faster,seg_075,2954638,2994630,39992,c4560d76edbd,no
astro_claude_websites_3x_faster,seg_076,2994630,3034581,39951,e6bdb89edfb0,no
astro_claude_websites_3x_faster,seg_077,3034581,3074558,39977,a570dc509557,no
astro_claude_websites_3x_faster,seg_078,3074558,3114488,39930,0d31dd0bc9c0,no
astro_claude_websites_3x_faster,seg_079,3114488,3154467,39979,3a9e86dfc4fd,no
astro_claude_websites_3x_faster,seg_080,3154467,3194396,39929,ab5f600b2e89,no
astro_claude_websites_3x_faster,seg_081,3194396,3234365,39969,81b7236c6920,no
astro_claude_websites_3x_faster,seg_082,3234365,3274266,39901,efaeb4992aba,no
astro_claude_websites_3x_faster,seg_083,3274266,3314221,39955,5198d57a6598,no
astro_claude_websites_3x_faster,seg_084,3314221,3354206,39985,dcf644962a85,no
astro_claude_websites_3x_faster,seg_085,3354206,3394141,39935,66dc8d198a8c,no
astro_claude_websites_3x_faster,seg_086,3394141,3434063,39922,ce310e781bdc,no
astro_claude_websites_3x_faster,seg_087,3434063,3474009,39946,a9a5254be8f6,no
astro_claude_websites_3x_faster,seg_088,3474009,3513991,39982,4baecc5b60b7,no
astro_claude_websites_3x_faster,seg_089,3513991,3553977,39986,3b7453312353,no
astro_claude_websites_3x_faster,seg_090,3553977,3593805,39828,fd4517c98824,no
astro_claude_websites_3x_faster,seg_091,3593805,3633714,39909,69e8d2800347,no
astro_claude_websites_3x_faster,seg_092,3633714,3673542,39828,ca9b84d4acc3,no
astro_claude_websites_3x_faster,seg_093,3673542,3713390,39848,cb7cb9152198,no
astro_claude_websites_3x_faster,seg_094,3713390,3753367,39977,23ba453c240f,no
astro_claude_websites_3x_faster,seg_095,3753367,3793305,39938,be0073b7987a,no
astro_claude_websites_3x_faster,seg_096,3793305,3833280,39975,1b1097235e45,no
astro_claude_websites_3x_faster,seg_097,3833280,3873263,39983,d8ada5b0e276,no
astro_claude_websites_3x_faster,seg_098,3873263,3913095,39832,fa68b4257031,no
astro_claude_websites_3x_faster,seg_099,3913095,3953088,39993,864957eba879,no
astro_claude_websites_3x_faster,seg_100,3953088,3993069,39981,c243eed0ce18,no
astro_claude_websites_3x_faster,seg_101,3993069,4032962,39893,52d8e39c6e6e,no
astro_claude_websites_3x_faster,seg_102,4032962,4072799,39837,0afb27a829fc,no
astro_claude_websites_3x_faster,seg_103,4072799,4112644,39845,e68efc09a6f6,no
astro_claude_websites_3x_faster,seg_104,4112644,4152483,39839,a90211c3edea,no
astro_claude_websites_3x_faster,seg_105,4152483,4192316,39833,38691faed815,no
astro_claude_websites_3x_faster,seg_106,4192316,4232178,39862,2aad24e8cd96,no
astro_claude_websites_3x_faster,seg_107,4232178,4272065,39887,95e09c217a68,no
astro_claude_websites_3x_faster,seg_108,4272065,4312018,39953,408ad391d3c2,no
astro_claude_websites_3x_faster,seg_109,4312018,4351883,39865,1699df2bb76a,no
astro_claude_websites_3x_faster,seg_110,4351883,4391807,39924,37afb51d9779,no
astro_claude_websites_3x_faster,seg_111,4391807,4431804,39997,9f8f6e173fc8,no
astro_claude_websites_3x_faster,seg_112,4431804,4471719,39915,c6f9eeaa9bdc,no
astro_claude_websites_3x_faster,seg_113,4471719,4511706,39987,beb1c97c19f5,no
astro_claude_websites_3x_faster,seg_114,4511706,4551681,39975,d36dbf859ad4,no
astro_claude_websites_3x_faster,seg_115,4551681,4591677,39996,6ddee0d4e103,no
astro_claude_websites_3x_faster,seg_116,4591677,4631523,39846,bf20b3fa081b,no
astro_claude_websites_3x_faster,seg_117,4631523,4650549,19026,e71cbe000ab5,no
