doc_id,seg_id,start,end,chars,sha1,read
blockbusters,seg_001,0,39831,39831,820902fdc69e,yes
blockbusters,seg_002,39831,79811,39980,8fde3e732e25,yes
blockbusters,seg_003,79811,119781,39970,f09a2f3f6f9e,yes
blockbusters,seg_004,119781,159607,39826,dc8af616adc2,yes
blockbusters,seg_005,159607,199444,39837,57c1cbe7894d,yes
blockbusters,seg_006,199444,239374,39930,528696c6e421,yes
blockbusters,seg_007,239374,279363,39989,2d303c28cc42,yes
blockbusters,seg_008,279363,319313,39950,895fcb990d62,yes
blockbusters,seg_009,319313,359311,39998,8d82be3ecedc,yes
blockbusters,seg_010,359311,399286,39975,e2066cd8eff2,yes
blockbusters,seg_011,399286,439204,39918,7f5effa4c4c9,yes
blockbusters,seg_012,439204,479147,39943,2bcd62986987,yes
blockbusters,seg_013,479147,519087,39940,8a36804e617c,yes
blockbusters,seg_014,519087,558910,39823,a4e56c7fe5c1,yes
blockbusters,seg_015,558910,598803,39893,6f06c7e888b2,yes
blockbusters,seg_016,598803,638686,39883,69496f75d88b,yes
blockbusters,seg_017,638686,678561,39875,14877747dffb,yes
blockbusters,seg_018,678561,692232,13671,91b100d8bd64,yes
