doc_id,seg_id,start,end,chars,sha1,read
bunch_of_mess,seg_001,0,39933,39933,a626b7f965fe,no
bunch_of_mess,seg_002,39933,79841,39908,46c58620dfbd,no
bunch_of_mess,seg_003,79841,119812,39971,10054835cd46,no
bunch_of_mess,seg_004,119812,159635,39823,2546a955bc6e,no
bunch_of_mess,seg_005,159635,199473,39838,b0cc153de7de,no
bunch_of_mess,seg_006,199473,239389,39916,37b599159c07,no
bunch_of_mess,seg_007,239389,279378,39989,5ab086a5f422,no
bunch_of_mess,seg_008,279378,319327,39949,7ed5d6abd7e9,no
bunch_of_mess,seg_009,319327,359263,39936,fcc581315e8e,no
bunch_of_mess,seg_010,359263,399116,39853,22252f4e27e2,no
bunch_of_mess,seg_011,399116,438988,39872,c61b0a6fdf80,no
bunch_of_mess,seg_012,438988,478936,39948,05fbee62f705,no
bunch_of_mess,seg_013,478936,518841,39905,b35451690f04,no
bunch_of_mess,seg_014,518841,558778,39937,12c5ab2b582c,no
bunch_of_mess,seg_015,558778,598681,39903,5b71f7ed947e,no
bunch_of_mess,seg_016,598681,638527,39846,5ca3bc903e76,no
bunch_of_mess,seg_017,638527,676986,38459,3248177d63d2,no
