doc_id,seg_id,start,end,chars,sha1,read
claude_for_small_business,seg_001,0,39901,39901,b53408718948,no
claude_for_small_business,seg_002,39901,79901,40000,b7d6d4e262a5,no
claude_for_small_business,seg_003,79901,119884,39983,0421a21ad915,no
claude_for_small_business,seg_004,119884,159851,39967,1e0323eb3246,no
claude_for_small_business,seg_005,159851,199684,39833,76b4ae76f769,no
claude_for_small_business,seg_006,199684,239627,39943,922a642c6d5d,no
claude_for_small_business,seg_007,239627,279455,39828,bfc8fa451ed3,no
claude_for_small_business,seg_008,279455,319327,39872,0b42ed28e1cc,no
claude_for_small_business,seg_009,319327,359249,39922,f452eca54922,no
claude_for_small_business,seg_010,359249,375027,15778,0fb77136146a,no
