doc_id,seg_id,start,end,chars,sha1,read
claude_thursday_4_23,seg_001,0,39875,39875,4e3e0bbe8791,no
claude_thursday_4_23,seg_002,39875,79819,39944,d743ba9adc9c,no
claude_thursday_4_23,seg_003,79819,119811,39992,732384ea0349,no
claude_thursday_4_23,seg_004,119811,159761,39950,a6445195aeac,no
claude_thursday_4_23,seg_005,159761,199684,39923,bfb8645621da,no
claude_thursday_4_23,seg_006,199684,239506,39822,306e9e39e1d6,no
claude_thursday_4_23,seg_007,239506,279441,39935,c347782fcc3c,no
claude_thursday_4_23,seg_008,279441,319367,39926,b14eb7687297,no
claude_thursday_4_23,seg_009,319367,359258,39891,4704998ea0cd,no
claude_thursday_4_23,seg_010,359258,399195,39937,b5eb70b77e09,no
claude_thursday_4_23,seg_011,399195,439170,39975,fc0fbbde867b,no
claude_thursday_4_23,seg_012,439170,479056,39886,bffc6e9bb507,no
claude_thursday_4_23,seg_013,479056,518931,39875,c4cf46dc69f0,no
claude_thursday_4_23,seg_014,518931,558822,39891,358a76342bd3,no
claude_thursday_4_23,seg_015,558822,598748,39926,26e2e805a4a0,no
claude_thursday_4_23,seg_016,598748,630986,32238,8a5cea5d9a83,no
