doc_id,seg_id,start,end,chars,sha1,read
company_of_one,seg_001,0,39876,39876,7fd484b32036,yes
company_of_one,seg_002,39876,79722,39846,04aa8f4f4da7,yes
company_of_one,seg_003,79722,119645,39923,8b3aa4a9b35d,yes
company_of_one,seg_004,119645,159481,39836,86c0e9c6935f,yes
company_of_one,seg_005,159481,199307,39826,2f48bb31281d,yes
company_of_one,seg_006,199307,239226,39919,8da577bb15ef,yes
company_of_one,seg_007,239226,279191,39965,288f6dfb07e1,yes
company_of_one,seg_008,279191,319190,39999,cce33b8fd40a,yes
company_of_one,seg_009,319190,359065,39875,06cb2e9927f1,yes
company_of_one,seg_010,359065,398945,39880,1424e539914b,yes
company_of_one,seg_011,398945,438882,39937,0c24d95e3036,yes
company_of_one,seg_012,438882,449567,10685,54b3efd21beb,yes
