doc_id,seg_id,start,end,chars,sha1,read
gary2_0_use,seg_001,0,39916,39916,f8b106561e89,no
gary2_0_use,seg_002,39916,79831,39915,ac9a3bdce4fb,no
gary2_0_use,seg_003,79831,119824,39993,06d19283f97f,no
gary2_0_use,seg_004,119824,159730,39906,5970753c119d,no
gary2_0_use,seg_005,159730,199649,39919,4bad85cef0d2,no
gary2_0_use,seg_006,199649,239611,39962,2c13f154a74d,no
gary2_0_use,seg_007,239611,279586,39975,fcd8f3b2ae9d,no
gary2_0_use,seg_008,279586,319538,39952,968d5cf26dc9,no
gary2_0_use,seg_009,319538,359500,39962,8036c207c1d9,no
gary2_0_use,seg_010,359500,399389,39889,9e6cd63870a6,no
gary2_0_use,seg_011,399389,439258,39869,8be580c43754,no
gary2_0_use,seg_012,439258,479255,39997,cec86939ae96,no
gary2_0_use,seg_013,479255,519105,39850,266bf658a351,no
gary2_0_use,seg_014,519105,559004,39899,3e831ebbdc5b,no
gary2_0_use,seg_015,559004,598896,39892,46d56deaccd9,no
gary2_0_use,seg_016,598896,638787,39891,e95b8190f4b5,no
gary2_0_use,seg_017,638787,678677,39890,a792cc185bd9,no
gary2_0_use,seg_018,678677,718618,39941,5cdd68767b92,no
gary2_0_use,seg_019,718618,758601,39983,8c994ad0973f,no
gary2_0_use,seg_020,758601,798601,40000,96cc728520fc,no
gary2_0_use,seg_021,798601,838527,39926,17f4d918c10d,no
gary2_0_use,seg_022,838527,878474,39947,dda6d79a693d,no
gary2_0_use,seg_023,878474,918332,39858,7abf43e50880,no
gary2_0_use,seg_024,918332,958313,39981,3f2b48cbf2a1,no
gary2_0_use,seg_025,958313,998277,39964,eed34acee9ad,no
gary2_0_use,seg_026,998277,1038169,39892,d24a22914e90,no
gary2_0_use,seg_027,1038169,1078168,39999,b73f25c55c7f,no
gary2_0_use,seg_028,1078168,1118072,39904,8df4d2ada62d,no
gary2_0_use,seg_029,1118072,1157947,39875,f4a4b474add3,no
gary2_0_use,seg_030,1157947,1197896,39949,0b16fe1ec9d0,no
gary2_0_use,seg_031,1197896,1237843,39947,dba879c445e6,no
gary2_0_use,seg_032,1237843,1277750,39907,320a823a5512,no
gary2_0_use,seg_033,1277750,1317741,39991,3ec17d2c6f1f,no
gary2_0_use,seg_034,1317741,1357646,39905,2cbae89cf742,no
gary2_0_use,seg_035,1357646,1397479,39833,6d21a01a587b,no
gary2_0_use,seg_036,1397479,1437443,39964,618507d6ab31,no
gary2_0_use,seg_037,1437443,1477397,39954,29dc53a5d93e,no
gary2_0_use,seg_038,1477397,1517296,39899,37cc9b3c0e73,no
gary2_0_use,seg_039,1517296,1557233,39937,41e76fe26a06,no
gary2_0_use,seg_040,1557233,1597195,39962,7059739a8d83,no
gary2_0_use,seg_041,1597195,1637159,39964,9aa0c304e702,no
gary2_0_use,seg_042,1637159,1677124,39965,59fafddf0022,no
gary2_0_use,seg_043,1677124,1716950,39826,fd46eca22047,no
gary2_0_use,seg_044,1716950,1718308,1358,4ec26c9f6218,no
