doc_id,seg_id,start,end,chars,sha1,read
high_level_convos,seg_001,0,39871,39871,2529cec93098,no
high_level_convos,seg_002,39871,79756,39885,b81c705f32c5,no
high_level_convos,seg_003,79756,119651,39895,36c36ce9e650,no
high_level_convos,seg_004,119651,159574,39923,4a5e5bf84480,no
high_level_convos,seg_005,159574,199456,39882,e68875da6af2,no
high_level_convos,seg_006,199456,239300,39844,876f5875090b,no
high_level_convos,seg_007,239300,279179,39879,0d0af71fc459,no
high_level_convos,seg_008,279179,319035,39856,ac551aa4723e,no
high_level_convos,seg_009,319035,358922,39887,3f3dd3d5aaa8,no
high_level_convos,seg_010,358922,398900,39978,69200a1e5e44,no
high_level_convos,seg_011,398900,438733,39833,aded7b569b67,no
high_level_convos,seg_012,438733,478616,39883,22aca5a88b6e,no
high_level_convos,seg_013,478616,518595,39979,2f3ad0e372c3,no
high_level_convos,seg_014,518595,558490,39895,1918649f0d12,no
high_level_convos,seg_015,558490,598441,39951,77b8c0c3d9fe,no
high_level_convos,seg_016,598441,638300,39859,244067b90992,no
high_level_convos,seg_017,638300,678173,39873,37125160048f,no
high_level_convos,seg_018,678173,718078,39905,14c86c1585c8,no
high_level_convos,seg_019,718078,758026,39948,a635fa176ad0,no
high_level_convos,seg_020,758026,797965,39939,4201035aee7e,no
high_level_convos,seg_021,797965,837919,39954,9dd579f72e48,no
high_level_convos,seg_022,837919,877892,39973,741871258927,no
high_level_convos,seg_023,877892,917788,39896,f6c2225fc7ca,no
high_level_convos,seg_024,917788,957712,39924,ab1a307ebaa3,no
high_level_convos,seg_025,957712,997601,39889,ae17059e490d,no
high_level_convos,seg_026,997601,1037521,39920,addb884d6b1d,no
high_level_convos,seg_027,1037521,1077472,39951,0b342c6d2af4,no
high_level_convos,seg_028,1077472,1117367,39895,9de864c4a0ab,no
high_level_convos,seg_029,1117367,1157362,39995,2c1365aa627b,no
high_level_convos,seg_030,1157362,1197348,39986,06345797fba1,no
high_level_convos,seg_031,1197348,1237278,39930,40e306bbdedf,no
high_level_convos,seg_032,1237278,1277231,39953,1c2b2b603906,no
high_level_convos,seg_033,1277231,1317066,39835,240d8a4d25ce,no
high_level_convos,seg_034,1317066,1356935,39869,4f4fcb001e47,no
high_level_convos,seg_035,1356935,1396825,39890,5e055bb42ab5,no
high_level_convos,seg_036,1396825,1436677,39852,0c2a33e27c14,no
high_level_convos,seg_037,1436677,1476560,39883,36d58d2027ee,no
high_level_convos,seg_038,1476560,1516552,39992,7d1d5e5832c9,no
