doc_id,seg_id,start,end,chars,sha1,read
last_ig_growth_strat,seg_001,0,39933,39933,287da92a960b,no
last_ig_growth_strat,seg_002,39933,79903,39970,3064c0122bb8,no
last_ig_growth_strat,seg_003,79903,119862,39959,fda1ac3ac59a,no
last_ig_growth_strat,seg_004,119862,159831,39969,b1c4f50bc61b,no
last_ig_growth_strat,seg_005,159831,199709,39878,85fedaa5a4c1,no
last_ig_growth_strat,seg_006,199709,239682,39973,9e145f0077f3,no
last_ig_growth_strat,seg_007,239682,279621,39939,8fc5dc6a0f40,no
last_ig_growth_strat,seg_008,279621,319591,39970,8d9800e3d338,no
last_ig_growth_strat,seg_009,319591,359584,39993,e6ea9edc8fa9,no
last_ig_growth_strat,seg_010,359584,399556,39972,63e7ee48f32d,no
last_ig_growth_strat,seg_011,399556,439550,39994,bc3ea975f8cf,no
last_ig_growth_strat,seg_012,439550,469859,30309,28bcc3112e34,no
