doc_id,seg_id,start,end,chars,sha1,read
last_lightroom_hopefully,seg_001,0,39999,39999,68da94865ff4,no
last_lightroom_hopefully,seg_002,39999,79841,39842,0016e7cd1e2c,no
last_lightroom_hopefully,seg_003,79841,119672,39831,23d0b0034aba,no
last_lightroom_hopefully,seg_004,119672,159615,39943,f47042117165,no
last_lightroom_hopefully,seg_005,159615,199588,39973,b068e5cc068b,no
last_lightroom_hopefully,seg_006,199588,239472,39884,952caadd2fb5,no
last_lightroom_hopefully,seg_007,239472,279449,39977,ed5105e05a30,no
last_lightroom_hopefully,seg_008,279449,319417,39968,f10d76fc7126,no
last_lightroom_hopefully,seg_009,319417,359405,39988,09a529402413,no
last_lightroom_hopefully,seg_010,359405,399232,39827,12883bca0b2e,no
last_lightroom_hopefully,seg_011,399232,439140,39908,871fbbf08f8a,no
last_lightroom_hopefully,seg_012,439140,479132,39992,a3475ed0929d,no
last_lightroom_hopefully,seg_013,479132,518973,39841,eb8e16800ab3,no
last_lightroom_hopefully,seg_014,518973,558819,39846,67e868dc3e82,no
last_lightroom_hopefully,seg_015,558819,598812,39993,0ba9d2e90a9d,no
last_lightroom_hopefully,seg_016,598812,638746,39934,e8dc3748cfb9,no
last_lightroom_hopefully,seg_017,638746,678720,39974,f01d57c5ae64,no
last_lightroom_hopefully,seg_018,678720,718542,39822,51a102da7169,no
last_lightroom_hopefully,seg_019,718542,758427,39885,7908b8085d26,no
last_lightroom_hopefully,seg_020,758427,798426,39999,1003061f62e0,no
last_lightroom_hopefully,seg_021,798426,838396,39970,bfef19aed33a,no
last_lightroom_hopefully,seg_022,838396,878232,39836,d21a49d78406,no
last_lightroom_hopefully,seg_023,878232,918216,39984,9b9043d69808,no
last_lightroom_hopefully,seg_024,918216,958089,39873,d478ba418750,no
last_lightroom_hopefully,seg_025,958089,978904,20815,dee1d7479bec,no
