doc_id,seg_id,start,end,chars,sha1,read
maister_psf,seg_001,0,39970,39970,16896acf6d0d,yes
maister_psf,seg_002,39970,79942,39972,a4871fc37c39,yes
maister_psf,seg_003,79942,119880,39938,dca6b61dde12,yes
maister_psf,seg_004,119880,159838,39958,f932ff842928,yes
maister_psf,seg_005,159838,199810,39972,7503662b9506,yes
maister_psf,seg_006,199810,239801,39991,9853371415d4,yes
maister_psf,seg_007,239801,279698,39897,a2f5eddfb51f,yes
maister_psf,seg_008,279698,319641,39943,ab1a9ac7dce3,yes
maister_psf,seg_009,319641,359572,39931,b79705a19a2f,yes
maister_psf,seg_010,359572,399461,39889,e0f531984e6f,yes
maister_psf,seg_011,399461,439417,39956,2f811b621e4f,yes
maister_psf,seg_012,439417,479274,39857,3de0e2128fe5,yes
maister_psf,seg_013,479274,519122,39848,839dfe5a0f60,yes
maister_psf,seg_014,519122,559103,39981,8f31740dc1b6,yes
maister_psf,seg_015,559103,599066,39963,1011b37e88c1,yes
maister_psf,seg_016,599066,639027,39961,bc4f6afabf22,yes
maister_psf,seg_017,639027,678899,39872,291126597c1d,yes
maister_psf,seg_018,678899,718881,39982,7e39922c5ff8,yes
maister_psf,seg_019,718881,750413,31532,55c3c2b217c9,yes
