doc_id,seg_id,start,end,chars,sha1,read
meta_everything_use,seg_001,0,39975,39975,86550a176be6,no
meta_everything_use,seg_002,39975,79928,39953,54cee606fa69,no
meta_everything_use,seg_003,79928,119763,39835,04c1f30ad56f,no
meta_everything_use,seg_004,119763,159714,39951,58c4f35a24fd,no
meta_everything_use,seg_005,159714,199680,39966,26b81da90fd1,no
meta_everything_use,seg_006,199680,239616,39936,2be595becf78,no
meta_everything_use,seg_007,239616,279460,39844,7cec38dab98c,no
meta_everything_use,seg_008,279460,319359,39899,a246f5958381,no
meta_everything_use,seg_009,319359,359322,39963,2c81f160dadb,no
meta_everything_use,seg_010,359322,399281,39959,f8614588aa43,no
meta_everything_use,seg_011,399281,439249,39968,169b135eecb9,no
meta_everything_use,seg_012,439249,479083,39834,dc9630a4d5a8,no
meta_everything_use,seg_013,479083,519023,39940,5ddda9db8f14,no
meta_everything_use,seg_014,519023,558871,39848,0ab0a6cea473,no
meta_everything_use,seg_015,558871,598861,39990,ae49f6c69f76,no
meta_everything_use,seg_016,598861,638777,39916,ca7bb0108571,no
meta_everything_use,seg_017,638777,678632,39855,31eab515a90e,no
meta_everything_use,seg_018,678632,718461,39829,711d93861561,no
meta_everything_use,seg_019,718461,758401,39940,82357241257a,no
meta_everything_use,seg_020,758401,774289,15888,cc6e19ec6388,no
