doc_id,seg_id,start,end,chars,sha1,read
outsiders,seg_001,0,39911,39911,4812a0fce015,yes
outsiders,seg_002,39911,79908,39997,46ea046ca6a3,yes
outsiders,seg_003,79908,119844,39936,565f6b760a54,yes
outsiders,seg_004,119844,159702,39858,ab79fd2a0011,yes
outsiders,seg_005,159702,199638,39936,6220fdc92c59,yes
outsiders,seg_006,199638,239462,39824,09879c459375,yes
outsiders,seg_007,239462,279416,39954,bc446fb6a3c3,yes
outsiders,seg_008,279416,319372,39956,8f4f410a6f17,yes
outsiders,seg_009,319372,359231,39859,c1e0fe22d2f5,yes
outsiders,seg_010,359231,399091,39860,0cfad180dd65,yes
outsiders,seg_011,399091,439025,39934,dd2900351ba2,yes
outsiders,seg_012,439025,478975,39950,885deb5fb883,yes
outsiders,seg_013,478975,518890,39915,60627b7fc61f,yes
outsiders,seg_014,518890,558817,39927,ccc224198e0a,yes
outsiders,seg_015,558817,598744,39927,9a2a4f4891f8,yes
outsiders,seg_016,598744,622495,23751,a73c62e4bc1a,yes
