doc_id,seg_id,start,end,chars,sha1,read
perennial_seller,seg_001,0,39976,39976,6e7311710a56,yes
perennial_seller,seg_002,39976,79879,39903,725d89fb7806,yes
perennial_seller,seg_003,79879,119815,39936,d502c427ad35,yes
perennial_seller,seg_004,119815,159674,39859,41f7ffe2e195,yes
perennial_seller,seg_005,159674,199650,39976,ebdb81a57c87,yes
perennial_seller,seg_006,199650,239637,39987,af0ba6f54999,yes
perennial_seller,seg_007,239637,279550,39913,b06fab1c3b0f,yes
perennial_seller,seg_008,279550,319487,39937,0222a74647a8,yes
perennial_seller,seg_009,319487,359341,39854,5ccd4b5fd7bd,yes
perennial_seller,seg_010,359341,399285,39944,c31c028ae954,yes
perennial_seller,seg_011,399285,439258,39973,f310b26b15f2,yes
perennial_seller,seg_012,439258,463068,23810,19740f854378,yes
