doc_id,seg_id,start,end,chars,sha1,read
photographers_eye,seg_001,0,39850,39850,d24cafcac8dd,yes
photographers_eye,seg_002,39850,79762,39912,cd4127029dad,yes
photographers_eye,seg_003,79762,119687,39925,abba613abd64,yes
photographers_eye,seg_004,119687,159683,39996,cb1a4b938b49,yes
photographers_eye,seg_005,159683,199542,39859,713744be87c0,yes
photographers_eye,seg_006,199542,239534,39992,b741807ee211,yes
photographers_eye,seg_007,239534,279498,39964,ad83a791766f,yes
photographers_eye,seg_008,279498,319342,39844,cb5cb53952cc,yes
photographers_eye,seg_009,319342,359279,39937,88c979e52c7c,yes
photographers_eye,seg_010,359279,365754,6475,98fdd7001979,yes
