doc_id,seg_id,start,end,chars,sha1,read
poor_charlies_almanack,seg_001,0,39898,39898,ba5f955a8d38,yes
poor_charlies_almanack,seg_002,39898,79734,39836,169447c6c368,yes
poor_charlies_almanack,seg_003,79734,119622,39888,8f8b13a7d704,yes
poor_charlies_almanack,seg_004,119622,159541,39919,ac59cb3693af,yes
poor_charlies_almanack,seg_005,159541,199455,39914,20ffc4e1d926,yes
poor_charlies_almanack,seg_006,199455,239440,39985,40ba1c581b22,yes
poor_charlies_almanack,seg_007,239440,279401,39961,8ba35da01c64,yes
poor_charlies_almanack,seg_008,279401,319275,39874,404af6836c72,yes
poor_charlies_almanack,seg_009,319275,359132,39857,9c45fa14903d,yes
poor_charlies_almanack,seg_010,359132,399113,39981,2e52d53d1fe5,yes
poor_charlies_almanack,seg_011,399113,439084,39971,527a3d18091d,yes
poor_charlies_almanack,seg_012,439084,478985,39901,89c1653e91a8,yes
poor_charlies_almanack,seg_013,478985,518873,39888,a05f9b64995d,yes
poor_charlies_almanack,seg_014,518873,558797,39924,f068c5679c0a,yes
poor_charlies_almanack,seg_015,558797,598657,39860,f339fee773ae,yes
poor_charlies_almanack,seg_016,598657,638518,39861,fbeaacd5f28a,yes
poor_charlies_almanack,seg_017,638518,678509,39991,9f26f4762324,yes
poor_charlies_almanack,seg_018,678509,718495,39986,198639688d88,yes
poor_charlies_almanack,seg_019,718495,758349,39854,98a9a45c1930,yes
poor_charlies_almanack,seg_020,758349,798183,39834,888f311b08f8,yes
poor_charlies_almanack,seg_021,798183,838008,39825,4b4d32e4a535,yes
poor_charlies_almanack,seg_022,838008,877840,39832,eaa8f450ad72,yes
poor_charlies_almanack,seg_023,877840,899142,21302,3efb8dc18348,yes
