doc_id,seg_id,start,end,chars,sha1,read
revenge_of_analog,seg_001,0,39968,39968,278018f2abb1,yes
revenge_of_analog,seg_002,39968,79947,39979,033d8841952a,yes
revenge_of_analog,seg_003,79947,119914,39967,5c423785dddd,yes
revenge_of_analog,seg_004,119914,159865,39951,b661928fcf30,yes
revenge_of_analog,seg_005,159865,199803,39938,8c067e620f42,yes
revenge_of_analog,seg_006,199803,239682,39879,2d4616a1c146,yes
revenge_of_analog,seg_007,239682,279600,39918,ad489726d289,yes
revenge_of_analog,seg_008,279600,319566,39966,0466283c3e00,yes
revenge_of_analog,seg_009,319566,359442,39876,952919a4c8d2,yes
revenge_of_analog,seg_010,359442,399429,39987,a2af0b6d9dde,yes
revenge_of_analog,seg_011,399429,439332,39903,d1c741dbf971,yes
revenge_of_analog,seg_012,439332,479198,39866,82f66fd26a67,yes
revenge_of_analog,seg_013,479198,519082,39884,169c5eccc6f5,yes
revenge_of_analog,seg_014,519082,558971,39889,ffab7581c622,yes
revenge_of_analog,seg_015,558971,598884,39913,fe1359988294,yes
revenge_of_analog,seg_016,598884,638850,39966,10c819426459,yes
revenge_of_analog,seg_017,638850,678824,39974,9f6d61b41dc2,yes
revenge_of_analog,seg_018,678824,718707,39883,fa229e84a279,yes
revenge_of_analog,seg_019,718707,722221,3514,9d19fb8e31af,yes
