doc_id,seg_id,start,end,chars,sha1,read
series_1_download,seg_001,0,39976,39976,810546c26174,no
series_1_download,seg_002,39976,79914,39938,19c6810ac995,no
series_1_download,seg_003,79914,119766,39852,b57096130f0f,no
series_1_download,seg_004,119766,159636,39870,1ec44b65da8d,no
series_1_download,seg_005,159636,199481,39845,82b16a36b3de,no
series_1_download,seg_006,199481,239457,39976,5131dff35625,no
series_1_download,seg_007,239457,279374,39917,07ecc66926ac,no
series_1_download,seg_008,279374,319333,39959,40d08a948cb3,no
series_1_download,seg_009,319333,359282,39949,02118f05e2a0,no
series_1_download,seg_010,359282,399110,39828,78b7f9d948dd,no
series_1_download,seg_011,399110,439058,39948,6f541873f9f8,no
series_1_download,seg_012,439058,479007,39949,bccf695716c8,no
series_1_download,seg_013,479007,518959,39952,ab0265fd8d6a,no
series_1_download,seg_014,518959,558832,39873,8f8f31768e30,no
series_1_download,seg_015,558832,598814,39982,28dcc8616239,no
series_1_download,seg_016,598814,638718,39904,dd3387ff3630,no
series_1_download,seg_017,638718,678610,39892,797167ef67f1,no
series_1_download,seg_018,678610,718478,39868,d76b592d862f,no
series_1_download,seg_019,718478,758365,39887,4ee458c3e086,no
series_1_download,seg_020,758365,798296,39931,1508cf1138b6,no
series_1_download,seg_021,798296,838286,39990,22c3a0254e8b,no
series_1_download,seg_022,838286,878164,39878,7990b493682a,no
series_1_download,seg_023,878164,918088,39924,c2203279102d,no
series_1_download,seg_024,918088,958007,39919,a12971607779,no
series_1_download,seg_025,958007,997897,39890,39aea5649431,no
series_1_download,seg_026,997897,1037877,39980,07227c03c4e7,no
series_1_download,seg_027,1037877,1077794,39917,9c34ca038187,no
series_1_download,seg_028,1077794,1117620,39826,a2c249edbbdc,no
series_1_download,seg_029,1117620,1157457,39837,0f37c31d3821,no
series_1_download,seg_030,1157457,1197295,39838,912aef711095,no
series_1_download,seg_031,1197295,1215613,18318,55a970261feb,no
