doc_id,seg_id,start,end,chars,sha1,read
sniped_figma,seg_001,0,39971,39971,879e68719351,no
sniped_figma,seg_002,39971,79868,39897,828b6509e937,no
sniped_figma,seg_003,79868,119709,39841,da420ec1c105,no
sniped_figma,seg_004,119709,159695,39986,d0a9803c23f9,no
sniped_figma,seg_005,159695,199546,39851,35bb2393d19b,no
sniped_figma,seg_006,199546,239486,39940,5c23f4241d34,no
sniped_figma,seg_007,239486,279480,39994,cba9b33924b1,no
sniped_figma,seg_008,279480,319303,39823,65e9d756460b,no
sniped_figma,seg_009,319303,359198,39895,6fefc658ed79,no
sniped_figma,seg_010,359198,387386,28188,3bdecc3d601c,no
