doc_id,seg_id,start,end,chars,sha1,read
status_anxiety,seg_001,0,39991,39991,7e5c839dee3e,yes
status_anxiety,seg_002,39991,79959,39968,9a9af8fd7b6f,yes
status_anxiety,seg_003,79959,119900,39941,ad17bf12de06,yes
status_anxiety,seg_004,119900,159852,39952,2e9c701f8f6a,yes
status_anxiety,seg_005,159852,199721,39869,641f7f85cbd8,yes
status_anxiety,seg_006,199721,239704,39983,6e4dc872a9f6,yes
status_anxiety,seg_007,239704,279527,39823,4cf9f2922ea9,yes
status_anxiety,seg_008,279527,319517,39990,70c827178757,yes
status_anxiety,seg_009,319517,359402,39885,e17bfb0d315a,yes
status_anxiety,seg_010,359402,390331,30929,a7b8de0b6a2d,yes
