doc_id,seg_id,start,end,chars,sha1,read
thinking_in_systems,seg_001,0,39891,39891,45ac3d0ad69f,yes
thinking_in_systems,seg_002,39891,79867,39976,62acdca3872b,yes
thinking_in_systems,seg_003,79867,119714,39847,a4162aff888d,yes
thinking_in_systems,seg_004,119714,159670,39956,6d766bc90467,yes
thinking_in_systems,seg_005,159670,199610,39940,e097e7070f72,yes
thinking_in_systems,seg_006,199610,239463,39853,55c70c9be5b1,yes
thinking_in_systems,seg_007,239463,279436,39973,ac9e086c3a50,yes
thinking_in_systems,seg_008,279436,319299,39863,90c835c1fce4,yes
thinking_in_systems,seg_009,319299,359130,39831,437869681b70,yes
thinking_in_systems,seg_010,359130,399107,39977,4c783d3a5943,yes
thinking_in_systems,seg_011,399107,427575,28468,1f824996fd5d,yes
