doc_id,seg_id,start,end,chars,sha1,read
youtube_skool_doc,seg_001,0,39955,39955,359473bcdbf9,no
youtube_skool_doc,seg_002,39955,79900,39945,7108b3033556,no
youtube_skool_doc,seg_003,79900,119861,39961,b9a344fc5d14,no
youtube_skool_doc,seg_004,119861,159821,39960,419c3b93abb7,no
youtube_skool_doc,seg_005,159821,199656,39835,0d453fe8b4fd,no
youtube_skool_doc,seg_006,199656,239642,39986,544453eefe21,no
youtube_skool_doc,seg_007,239642,279586,39944,951ce23e6c13,no
youtube_skool_doc,seg_008,279586,319562,39976,5358ce58cba9,no
youtube_skool_doc,seg_009,319562,359398,39836,2b1d78e2c63d,no
youtube_skool_doc,seg_010,359398,399255,39857,2ca9a4df6f94,no
youtube_skool_doc,seg_011,399255,439241,39986,ba4731ecf6c6,no
youtube_skool_doc,seg_012,439241,479090,39849,e48df013f637,no
youtube_skool_doc,seg_013,479090,519033,39943,b43b0fe40ca0,no
youtube_skool_doc,seg_014,519033,559023,39990,1ee611c2644d,no
youtube_skool_doc,seg_015,559023,598981,39958,f6913eb52993,no
youtube_skool_doc,seg_016,598981,638873,39892,3df209fe4748,no
youtube_skool_doc,seg_017,638873,678786,39913,7d3fa3bbfb8a,no
youtube_skool_doc,seg_018,678786,718632,39846,bf8390c9fd75,no
youtube_skool_doc,seg_019,718632,758528,39896,054ef35be25d,no
youtube_skool_doc,seg_020,758528,798435,39907,ef274af8d36b,no
youtube_skool_doc,seg_021,798435,838266,39831,d001c6146f1c,no
youtube_skool_doc,seg_022,838266,878150,39884,c30d55142aa8,no
youtube_skool_doc,seg_023,878150,918061,39911,5cf61a4c6c3c,no
youtube_skool_doc,seg_024,918061,957960,39899,3b3bfbf5de31,no
youtube_skool_doc,seg_025,957960,997823,39863,a1784d21be16,no
youtube_skool_doc,seg_026,997823,1037734,39911,3ccf8199ba03,no
youtube_skool_doc,seg_027,1037734,1077563,39829,735a8a5d0fbb,no
youtube_skool_doc,seg_028,1077563,1117449,39886,7af11da047cd,no
youtube_skool_doc,seg_029,1117449,1157285,39836,944622a123fc,no
youtube_skool_doc,seg_030,1157285,1174044,16759,f43c4a357ec1,no
