year,champion,runner_up,final_score,mvp,champion_honor
2025,Pembroke Pines Charter,,,Zack Dawson,
2024,St Thomas Aquinas,Gibbs,80-64,Dwayne Wimbley,State Champion
2023,Winter Haven,St Thomas Aquinas,78-75 OT,Isaac Celicsar,
2022,Winter Haven,Olympia,74-69,Isaac Celicsar,
2021,Eagle's Landing (GA),IMG Academy Blue,63-60,AJ Barnes,
2020,CANCELLED - COVID,,,,
2019,Columbia (GA),Jones,66-58,Devin Longstreet,
2018,Windermere,Orlando Christian Prep,61-41,Dante Love,
2017,Buford (GA),Vanguard,75-54,Marcus Watson,
2016,Madison Memorial (WI),LaSalle (OH),43-38,Chris Knight,
2015,Dillard,LaSalle (OH),49-42,Jordan Wright,State Champion
2014,Cardinal Gibbons,Zion Lutheran,53-51,Maverick Rowan,State Champion
2013,Berkeley Prep,Cardinal Gibbons,59-56,Justin Gray,
2012,Ballard (KY),Deerfield Beach,72-67,Kelan Martin,
2011,Montverde Academy,Blanche Ely,67-53,Kasey Hill,
2010,Dwyer,LaSalle (OH),53-50,Jacoby Brissett,State Champion
2009,Providence,East Ridge,48-41,Patrick Young,State Champion
2008,Christian Life (LA),Wolfson,73-71,Patrick Robinson,
2007,McEachern (GA),Berkeley Prep,65-62 OT,Trae Golden,
2006,LaSalle (OH),Columbia (GA),63-57,Bobby Austin,
2005,Columbia (GA),Christian Life (LA),54-52 OT,Anu Saaka,State Champion
2004,St Benedict's (NJ),Lakewood,65-55,Eugene Harvey,National Champion
2003,Tabor Academy (MA),Bakersfield (CA),60-58,Bilal Abdullah,
2002,LaSalle (OH),Tabor Academy (MA),60-48,John Thinnes,
2001,Miami Christian,Leesburg,66-52,Jesus Vadejo,State Champion
2000,Miami Christian,Tabor Academy (MA),67-61,Carlos Morban,
1999,Glenn Academy (GA),Tabor Academy (MA),70-63,DJ Jackson,
1998,Mercer Island (WA),Lenore (AL),52-47,Tyler Besecker,State Champion
1997,Wolfson,Butler (KY),57-56,Kenny Walker,
1996,St Anthony's (NJ),Ft Walton Beach,76-63,Anthony Perry,State Champion
1995,Eastern Commerce (CN),Dr Phillips,69-50,Jamaal Magloire / Teddy Dupay,State Champion
1994,Memphis East (TN),Miami,44-43,Tony Harris,
1993,Alcoa (TN),Vanguard,74-65,Micah Marsh,
1992,Fletcher,Sarasota Riverview,67-64,Jeremy Hyatt,
1991,Christ the King (NY),Marist (NJ),62-50,Jason Cipolla,
1990,Christian Brothers (NJ),Lafayette (KY),58-56,Jason Fichter,
1989,Dunbar (DC),Miami,100-98,Deon Murray,State Champion
1988,Bartow,Scott (OH),76-71,Patrick Sams,
1987,Miami Carol City,Vanguard,57-56,Robert McKie,State Champion
1986,Miami,Countryside,75-61,Jose Ramos,State Champion
1985,Hialeah Miami Lakes,Sumter (SC),71-56,Chris Corchiani,State Champion
1984,Spingarn (DC),Martin County,75-60,Sherman Douglas,National Champion
1983,St Anthony's (NJ),Mackin (DC),51-48,David Rivers,State Champion
1982,Decatur (GA),Vanguard,53-49,Darryl Gresham,
1981,Vanguard,Martin County,38-37,Victor Johnson,State Champion
1980,Clearwater,Marianna,64-63 2OT,David Stuart,State Champion
1979,Lakeland,Vanguard,81-57,Alonzo Allen,
1978,Vanguard,Clay,52-47,Kenny Vaughns / Zeb Howell,State Champion
1977,Vanguard,Miami Central,68-54,Kenny Vaughns,State Champion
1976,Deland,Vanguard,76-75,Allie Goodwin,State Champion
1975,Deland,Vanguard,55-52,Oliver Lee,
1974,Lake Weir,Mainland,63-50,Frank Johnson,State Champion
