player,nba_career,notes
Kwame Brown,2001-2013,Number one overall NBA draft pick
Dwight Howard,2004-2022,2025 Basketball Hall of Fame; 8-time All-Star
Joel Embiid,2014-Current,Number three pick 2014; 2023 NBA MVP
Christian Laettner,1992-2005,
Jamal Mashburn,1993-2004,
Kerry Kittles,1996-2005,
Sherman Douglas,1989-2001,
Vernon Maxwell,1988-2001,
Jamaal Magloire,2000-2012,
Thaddeus Young,2007-Current,
JJ Barea,2006-2020,
Michael Carter-Williams,2013-2023,
Nassir Little,2019-Current,
Matt Geiger,1992-2002,
DeShawn Stevenson,2000-2013,
Langston Galloway,2014-2022,
Frank Johnson,1981-1994,
Derek Harper,1983-1999,
Mike Brittain,1985-1987,
David Rivers,1988-1992,
Dyron Nix,1989-1990,
Tom Hammonds,1989-2001,
Chris Corchiani,1991-1994,
Doug Edwards,1993-1996,
Ed Stokes,1993-1998,
Michael Smith,1994-2001,
Corey Beck,1995-1999,
John Amaechi,1995-2003,
Jumaine Jones,1999-2007,
Alvin Jones,2001-2002,
Chris Jefferies,2002-2004,
Robert Swift,2004-2009,
Joey Graham,2005-2011,
Orien Greene,2005-2011,
Stephen Graham,2005-2011,
Alexander Johnson,2006-2008,
Chris Richard,2007-2010,
Javaris Crittenton,2007-2009,
Alonzo Gee,2009-2017,
Lance Thomas,2011-2020,
Travis Leslie,2011-2012,
Kelan Martin,2019-Current,
Brice Sensabaugh,2023-Current,
