ts,op,src,src_sha1,out,out_sha1,src_dims,out_dims,params,note
2026-06-04 23:26:15,register,hero.png,040a3e9bed177db4,hero.png,040a3e9bed177db4,3584x4800,3584x4800,,campaign input
2026-06-04 23:26:24,grade,hero.png,040a3e9bed177db4,graded.png,015f58ff1ec17a3e,3584x4800,3584x4800,spec=SNIPED_LOCKED_LOOK_v3_LUXURY phash=2c493b3b,locked LUXURY look applied (deterministic)
2026-06-04 23:26:29,colorlaw,graded.png,015f58ff1ec17a3e,final.png,6e8870c6f3f23335,3584x4800,3584x4800,keep_deg=5 width=30 outside=0.12 boost=1.15,color-law: only auction-red retains saturation
2026-06-04 23:26:30,reframe,final.png,6e8870c6f3f23335,lot00_ig_feed_4x5_1080x1350.png,a04104ff32be2a58,3584x4800,1080x1350,"ig_feed_4x5 1080x1350 focus=0.52,0.52",ok
2026-06-04 23:26:30,reframe,final.png,6e8870c6f3f23335,lot00_square_1x1_1080x1080.png,3e4453d321b808d9,3584x4800,1080x1080,"square_1x1 1080x1080 focus=0.52,0.52",ok
2026-06-04 23:26:31,reframe,final.png,6e8870c6f3f23335,lot00_story_9x16_1080x1920.png,9d6fee14ff5dbe88,3584x4800,1080x1920,"story_9x16 1080x1920 focus=0.52,0.52",ok
2026-06-04 23:26:31,reframe,final.png,6e8870c6f3f23335,lot00_li_banner_1584x396.png,29edf61dd2c1bd04,3584x4800,1584x396,"li_banner 1584x396 focus=0.52,0.52",ok
2026-06-04 23:26:31,reframe,final.png,6e8870c6f3f23335,lot00_yt_thumb_16x9_1280x720.png,00572886730b50ba,3584x4800,1280x720,"yt_thumb_16x9 1280x720 focus=0.52,0.52",ok
2026-06-04 23:26:32,reframe,final.png,6e8870c6f3f23335,lot00_web_hero_3x2_2400x1600.png,5a76fab4998ae9e4,3584x4800,2400x1600,"web_hero_3x2 2400x1600 focus=0.52,0.52",ok
2026-06-04 23:26:34,reframe,final.png,6e8870c6f3f23335,lot00_print_4x5_2000x2500.png,efeb221f9b63f737,3584x4800,2000x2500,"print_4x5 2000x2500 focus=0.52,0.52",ok
2026-06-04 23:26:35,layout:poster,final.png,6e8870c6f3f23335,01_poster.png,9ed3b35ed19d094d,3584x4800,1500x2100,1500x2100,LOT 00
2026-06-04 23:26:35,layout:titlecard,02_titlecard.png,535f3a9919ae00c5,02_titlecard.png,535f3a9919ae00c5,1920x1080,1920x1080,1920x1080 bg=ink,THE ESTATE OF HER
2026-06-04 23:26:36,layout:landing,final.png,6e8870c6f3f23335,03_landing_hero.png,acdcf27f05b4938a,3584x4800,1440x900,1440x900,The bloodline conveys with the furniture.
2026-06-04 23:26:37,layout:onesheet,final.png,6e8870c6f3f23335,07_onesheet.png,19cea0a30a0b2451,3584x4800,1700x2200,1700x2200,"LOT 00 , The Sitter"
2026-06-04 23:26:38,layout:lookbook,final.png,6e8870c6f3f23335,08_lookbook.png,b2de29e4f7915c9e,3584x4800,1600x2000,1600x2000,plate
2026-06-04 23:26:39,layout:thumbnail,final.png,6e8870c6f3f23335,13_thumbnail.png,f8b4a9e3e4e08464,3584x4800,1280x720,1280x720,THE / ESTATE / OF HER
2026-06-04 23:26:40,layout:carousel,final.png,6e8870c6f3f23335,slide_01.png,2874451a42254c98,3584x4800,1080x1080,slide 1 cover,
2026-06-04 23:26:40,layout:carousel,final.png,6e8870c6f3f23335,slide_02.png,aa4f63c73b78a929,3584x4800,1080x1080,slide 2 text,
2026-06-04 23:26:40,layout:carousel,final.png,6e8870c6f3f23335,slide_03.png,7baacad29f92bb8e,3584x4800,1080x1080,slide 3 image,
2026-06-04 23:26:41,layout:carousel,final.png,6e8870c6f3f23335,slide_04.png,f2d48d69ae17c634,3584x4800,1080x1080,slide 4 image,
2026-06-04 23:26:41,layout:carousel,final.png,6e8870c6f3f23335,slide_05.png,00b911a811a4005e,3584x4800,1080x1080,slide 5 text,
2026-06-04 23:26:59,teaser,final.png,6e8870c6f3f23335,teaser_9x16.mp4,de08293cda7fea3d,3584x4800,0x0,1080x1920 5 beats,still-based teaser
2026-06-04 23:27:00,layout:board,09_pitch_board.png,973bd5d76dcca00c,09_pitch_board.png,973bd5d76dcca00c,2200x1034,2200x1034,8 cells,"LOT 00  ,  THE ESTATE OF HER"
2026-06-04 23:27:00,layout:dashboard,10_proof_dashboard.png,f071127b2c5e0696,10_proof_dashboard.png,f071127b2c5e0696,1400x976,1400x976,24 rows,LOT 00 CAMPAIGN
2026-06-04 23:27:51,register,hero.png,040a3e9bed177db4,hero.png,040a3e9bed177db4,3584x4800,3584x4800,,campaign input
2026-06-04 23:28:00,grade,hero.png,040a3e9bed177db4,graded.png,015f58ff1ec17a3e,3584x4800,3584x4800,spec=SNIPED_LOCKED_LOOK_v3_LUXURY phash=2c493b3b,locked LUXURY look applied (deterministic)
2026-06-04 23:28:05,colorlaw,graded.png,015f58ff1ec17a3e,final.png,6e8870c6f3f23335,3584x4800,3584x4800,keep_deg=5 width=30 outside=0.12 boost=1.15,color-law: only auction-red retains saturation
2026-06-04 23:28:06,reframe,final.png,6e8870c6f3f23335,lot00_ig_feed_4x5_1080x1350.png,a04104ff32be2a58,3584x4800,1080x1350,"ig_feed_4x5 1080x1350 focus=0.52,0.52",ok
2026-06-04 23:28:06,reframe,final.png,6e8870c6f3f23335,lot00_square_1x1_1080x1080.png,3e4453d321b808d9,3584x4800,1080x1080,"square_1x1 1080x1080 focus=0.52,0.52",ok
2026-06-04 23:28:07,reframe,final.png,6e8870c6f3f23335,lot00_story_9x16_1080x1920.png,9d6fee14ff5dbe88,3584x4800,1080x1920,"story_9x16 1080x1920 focus=0.52,0.52",ok
2026-06-04 23:28:07,reframe,final.png,6e8870c6f3f23335,lot00_li_banner_1584x396.png,29edf61dd2c1bd04,3584x4800,1584x396,"li_banner 1584x396 focus=0.52,0.52",ok
2026-06-04 23:28:07,reframe,final.png,6e8870c6f3f23335,lot00_yt_thumb_16x9_1280x720.png,00572886730b50ba,3584x4800,1280x720,"yt_thumb_16x9 1280x720 focus=0.52,0.52",ok
2026-06-04 23:28:08,reframe,final.png,6e8870c6f3f23335,lot00_web_hero_3x2_2400x1600.png,5a76fab4998ae9e4,3584x4800,2400x1600,"web_hero_3x2 2400x1600 focus=0.52,0.52",ok
2026-06-04 23:28:10,reframe,final.png,6e8870c6f3f23335,lot00_print_4x5_2000x2500.png,efeb221f9b63f737,3584x4800,2000x2500,"print_4x5 2000x2500 focus=0.52,0.52",ok
2026-06-04 23:28:11,layout:poster,final.png,6e8870c6f3f23335,01_poster.png,9ed3b35ed19d094d,3584x4800,1500x2100,1500x2100,LOT 00
2026-06-04 23:28:11,layout:titlecard,02_titlecard.png,535f3a9919ae00c5,02_titlecard.png,535f3a9919ae00c5,1920x1080,1920x1080,1920x1080 bg=ink,THE ESTATE OF HER
2026-06-04 23:28:12,layout:landing,final.png,6e8870c6f3f23335,03_landing_hero.png,acdcf27f05b4938a,3584x4800,1440x900,1440x900,The bloodline conveys with the furniture.
2026-06-04 23:28:13,layout:onesheet,final.png,6e8870c6f3f23335,07_onesheet.png,19cea0a30a0b2451,3584x4800,1700x2200,1700x2200,"LOT 00 , The Sitter"
2026-06-04 23:28:14,layout:lookbook,final.png,6e8870c6f3f23335,08_lookbook.png,b2de29e4f7915c9e,3584x4800,1600x2000,1600x2000,plate
2026-06-04 23:28:15,layout:thumbnail,final.png,6e8870c6f3f23335,13_thumbnail.png,f8b4a9e3e4e08464,3584x4800,1280x720,1280x720,THE / ESTATE / OF HER
