ts,op,src,src_sha1,out,out_sha1,src_dims,out_dims,params,note
2026-06-05 00:18:04,register,hero.png,ba1c79948ee1d802,hero.png,ba1c79948ee1d802,3584x4800,3584x4800,,campaign input
2026-06-05 00:18:12,grade,hero.png,ba1c79948ee1d802,graded.png,1a844b5922ac8a3c,3584x4800,3584x4800,spec=SNIPED_LOCKED_LOOK_v3_LUXURY phash=2c493b3b,locked LUXURY look applied (deterministic)
2026-06-05 00:18:17,colorlaw,graded.png,1a844b5922ac8a3c,final.png,d0ece699f978ed7b,3584x4800,3584x4800,keep_deg=5 width=30 outside=0.12 boost=1.15,color-law: only auction-red retains saturation
2026-06-05 00:18:18,reframe,final.png,d0ece699f978ed7b,lot00_ig_feed_4x5_1080x1350.png,efc5f1603a6e4cc9,3584x4800,1080x1350,"ig_feed_4x5 1080x1350 focus=0.52,0.52",ok
2026-06-05 00:18:18,reframe,final.png,d0ece699f978ed7b,lot00_square_1x1_1080x1080.png,9935802219d1732d,3584x4800,1080x1080,"square_1x1 1080x1080 focus=0.52,0.52",ok
2026-06-05 00:18:19,reframe,final.png,d0ece699f978ed7b,lot00_story_9x16_1080x1920.png,5e60210be7f452af,3584x4800,1080x1920,"story_9x16 1080x1920 focus=0.52,0.52",ok
2026-06-05 00:18:19,reframe,final.png,d0ece699f978ed7b,lot00_li_banner_1584x396.png,44d18f7e1cc3af81,3584x4800,1584x396,"li_banner 1584x396 focus=0.52,0.52",ok
2026-06-05 00:18:19,reframe,final.png,d0ece699f978ed7b,lot00_yt_thumb_16x9_1280x720.png,d155372343a97237,3584x4800,1280x720,"yt_thumb_16x9 1280x720 focus=0.52,0.52",ok
2026-06-05 00:18:20,reframe,final.png,d0ece699f978ed7b,lot00_web_hero_3x2_2400x1600.png,c55908378095a615,3584x4800,2400x1600,"web_hero_3x2 2400x1600 focus=0.52,0.52",ok
2026-06-05 00:18:22,reframe,final.png,d0ece699f978ed7b,lot00_print_4x5_2000x2500.png,b50383d15a252573,3584x4800,2000x2500,"print_4x5 2000x2500 focus=0.52,0.52",ok
2026-06-05 00:18:23,layout:poster,final.png,d0ece699f978ed7b,01_poster.png,c3dda191939cd0de,3584x4800,1500x2100,1500x2100,EXHIBIT 00
2026-06-05 00:18:23,layout:titlecard,02_titlecard.png,edb7369c34f79e84,02_titlecard.png,edb7369c34f79e84,1920x1080,1920x1080,1920x1080 bg=ink,REMAINS DAY
2026-06-05 00:18:24,layout:landing,final.png,d0ece699f978ed7b,03_landing_hero.png,4954db395efa436e,3584x4800,1440x900,1440x900,The morning after the championship
2026-06-05 00:18:25,layout:onesheet,final.png,d0ece699f978ed7b,07_onesheet.png,3b9ad139e7ca1f5f,3584x4800,1700x2200,1700x2200,REMAINS DAY
2026-06-05 00:18:26,layout:lookbook,final.png,d0ece699f978ed7b,08_lookbook.png,0744a0860a77db8b,3584x4800,1600x2000,1600x2000,plate
2026-06-05 00:18:27,layout:thumbnail,final.png,d0ece699f978ed7b,13_thumbnail.png,a6390bd5bd5aa9a9,3584x4800,1280x720,1280x720,EXHIBIT / 00
2026-06-05 00:18:27,layout:carousel,final.png,d0ece699f978ed7b,slide_01.png,d2923f3a91f28049,3584x4800,1080x1080,slide 1 cover,
2026-06-05 00:18:27,layout:carousel,final.png,d0ece699f978ed7b,slide_02.png,bbcc9f9d5b456f98,3584x4800,1080x1080,slide 2 text,
2026-06-05 00:18:28,layout:carousel,final.png,d0ece699f978ed7b,slide_03.png,9eafae21db61a9a5,3584x4800,1080x1080,slide 3 image,
2026-06-05 00:18:28,layout:carousel,final.png,d0ece699f978ed7b,slide_04.png,c008ec90050b9f30,3584x4800,1080x1080,slide 4 image,
2026-06-05 00:18:28,layout:carousel,final.png,d0ece699f978ed7b,slide_05.png,84ef05034a742579,3584x4800,1080x1080,slide 5 text,
2026-06-05 00:18:46,teaser,final.png,d0ece699f978ed7b,teaser_9x16.mp4,c408cd5a2e42a01c,3584x4800,0x0,1080x1920 5 beats,still-based teaser
2026-06-05 00:18:47,layout:board,09_pitch_board.png,35b39d8e80a00c01,09_pitch_board.png,35b39d8e80a00c01,2200x1034,2200x1034,8 cells,"EXHIBIT 00  ,  REMAINS DAY"
2026-06-05 00:18:47,layout:dashboard,10_proof_dashboard.png,fd6719df2a774963,10_proof_dashboard.png,fd6719df2a774963,1400x976,1400x976,24 rows,EXHIBIT 00 CAMPAIGN
