ts,op,src,src_sha1,out,out_sha1,src_dims,out_dims,params,note
2026-06-04 22:41:20,register,lot00_4k_raw.png,040a3e9bed177db4,lot00_4k_raw.png,040a3e9bed177db4,3584x4800,3584x4800,3584x4800,registered
2026-06-04 22:42:13,grade,lot00_4k_raw.png,040a3e9bed177db4,lot00_4k_graded.png,015f58ff1ec17a3e,3584x4800,3584x4800,spec=SNIPED_LOCKED_LOOK_v3_LUXURY phash=2c493b3b,locked LUXURY look applied (deterministic)
2026-06-04 22:42:18,colorlaw,lot00_4k_graded.png,015f58ff1ec17a3e,lot00_4k_composite.png,6e8870c6f3f23335,3584x4800,3584x4800,keep_deg=5 width=30 outside=0.12 boost=1.15,color-law: only auction-red retains saturation
2026-06-04 22:42:19,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_ig_feed_4x5_1080x1350.png,a04104ff32be2a58,3584x4800,1080x1350,"ig_feed_4x5 1080x1350 focus=0.52,0.52",ok
2026-06-04 22:42:19,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_square_1x1_1080x1080.png,3e4453d321b808d9,3584x4800,1080x1080,"square_1x1 1080x1080 focus=0.52,0.52",ok
2026-06-04 22:42:20,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_story_9x16_1080x1920.png,9d6fee14ff5dbe88,3584x4800,1080x1920,"story_9x16 1080x1920 focus=0.52,0.52",ok
2026-06-04 22:42:20,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_li_banner_1584x396.png,29edf61dd2c1bd04,3584x4800,1584x396,"li_banner 1584x396 focus=0.52,0.52",ok
2026-06-04 22:42:21,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_yt_thumb_16x9_1280x720.png,00572886730b50ba,3584x4800,1280x720,"yt_thumb_16x9 1280x720 focus=0.52,0.52",ok
2026-06-04 22:42:22,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_web_hero_3x2_2400x1600.png,5a76fab4998ae9e4,3584x4800,2400x1600,"web_hero_3x2 2400x1600 focus=0.52,0.52",ok
2026-06-04 22:42:23,reframe,lot00_4k_composite.png,6e8870c6f3f23335,lot00_print_4x5_2000x2500.png,efeb221f9b63f737,3584x4800,2000x2500,"print_4x5 2000x2500 focus=0.52,0.52",ok
